"event","gender","n","mean","sd","0","5","10","25","50","75","90","95","100"
"Sled Push","Male",278,8.2,1.55,20.65,10.76,10.18,9.24,8.2,7.15,6.21,5.64,5.63
"Sled Push","Female",46,12.62,2.3,17.48,16.42,15.57,14.17,12.62,11.07,9.67,8.82,9
"Sled Drag","Male",278,15.9,3.7,45.78,22,20.64,18.39,15.9,13.4,11.16,9.79,8.85
"Sled Drag","Female",46,33.07,11.47,66.24,52,47.75,40.8,33.07,25.34,18.39,14.15,15.59
"Power Throw","Male",278,19.64,3.92,9.42,13.16,14.61,16.99,19.64,22.28,24.66,26.11,35.33
"Power Throw","Female",46,10.39,2.74,5.92,5.87,6.88,8.54,10.39,12.23,13.89,14.9,16.83
"Long Jump","Male",278,82.47,10.43,45,65.26,69.12,75.44,82.47,89.5,95.82,99.68,108
"Long Jump","female",46,64.3,7.59,48,51.79,54.59,59.19,64.3,69.42,74.01,76.82,80
"Vertical Jump","Male",278,21.68,4.82,12,13.72,15.5,18.43,21.68,24.93,27.85,29.63,35
"Vertical Jump","Female",46,14.54,2.81,10,9.91,10.95,12.65,14.54,16.44,18.14,19.18,21
"Illinois Shuttle","Male",278,19.34,1.28,24.72,21.45,20.97,20.2,19.34,18.47,17.7,17.23,14.38
"Illinois Shuttle","Female",46,21.51,1.32,25.69,23.69,23.2,22.4,21.51,20.62,19.82,19.33,19.03
"400m Dash","Male",278,75,12,130,94,90,83,75,66,59,55,57
"400m Dash","Female",46,93,16,142,119,113,103,93,82,72,66,73
"Shuttle Run","Male",278,67.76,4.23,86,74.75,73.18,70.62,67.76,64.91,62.35,60.78,59.16
"Shuttle Run","Female",46,77.99,6.32,97.43,88.42,86.08,82.25,77.99,73.73,69.9,67.56,67
"Loaded Shuttle Run","Male",278,76,5,99,84,82,79,76,72,69,67,64
"Loaded Shuttle Run","Female",46,92,7,114,103,100,96,92,87,83,80,79
"Goblet Squat","Male",278,32.19,11.84,7,13.72,15.5,18.43,21.68,24.93,27.85,29.63,80
"Goblet Squat","Female",46,17.87,7.3,8,9.91,10.95,12.65,14.54,16.44,18.14,19.18,35
"Abdominal Rower","Male",278,52.39,30.59,10,1.92,13.24,31.77,52.39,73,91.54,102.86,211
"Abdominal Rower","Female",46,47.72,31.56,22,0,7.32,26.44,47.72,68.99,88.12,99.8,111
"Modified Situps","Male",278,56.3,34.09,10,0.05,12.67,33.33,56.3,79.28,99.94,112.55,250
"Modified Situps","Female",46,55.54,19.78,25,22.9,30.22,42.21,55.54,68.88,80.86,88.18,130
"Trunk Rotation","Male",278,78.46,48.44,10,0,16.46,45.81,78.46,111.11,140.47,158.39,400
"Trunk Rotation","Female",46,50.52,43.18,17,0,0,21.42,50.52,79.63,105.8,121.77,300
"Leg Tuck","Male",278,7.99,4.67,0,0.29,2.01,4.84,7.99,11.14,13.96,15.69,24
"Leg Tuck","Female",46,1.33,1.85,0,0,0,0.08,1.33,2.57,3.69,4.38,7
"Dips","Male",278,18.94,8.79,1,4.43,7.68,13.01,18.94,24.86,30.19,33.44,50
"Dips","Female",46,3.96,17.69,0,0,0,0,3.96,15.88,26.6,33.14,16
"Deadlift","Male",278,257.08,32.11,173.23,204.09,215.98,235.44,257.08,278.72,298.18,310.06,341.55
"Deadlift","Female",46,164.01,26.05,97.25,121.03,130.67,146.45,164.01,181.57,197.35,206.99,230.42
"Bench Press","Male",278,201.58,41.27,80.62,133.48,148.75,173.76,201.58,229.4,254.41,269.68,292.24
"Bench Press","Female",46,93.92,19.78,55.72,61.29,68.61,80.59,93.92,107.26,119.24,126.56,147.12
"Pullups","Male",278,6.95,4.07,0,0.24,1.75,4.21,6.95,9.69,12.15,13.66,20
"Pullups","Female",46,0.7,1.15,0,-1.21,-0.78,-0.08,0.7,1.47,2.17,2.6,4
"Bench Press End","Male",278,53.69,18.97,10,22.39,29.41,40.9,53.69,66.47,77.96,84.98,141
"Bench Press End","Female",46,17.74,9.37,3,2.28,5.75,11.43,17.74,24.05,29.73,33.2,40
"Kettlebell Squat","Male",278,33.44,13.34,4,11.43,16.37,24.45,33.44,42.43,50.52,55.45,100
"Kettlebell Squat","Female",46,18.22,9.1,5,3.21,6.57,12.09,18.22,24.35,29.86,33.23,50
"Pushups","Male",278,66.4,12.39,39,45.95,50.54,58.05,66.4,74.76,82.27,86.85,123
"Pushups","Female",46,41.41,12.96,20,20.03,24.83,32.68,41.41,50.15,58,62.79,100
"Situps","Male",278,69.63,10.52,40,52.28,56.17,62.54,69.63,76.72,83.1,86.99,102
"Situps","Female",46,67.59,12.54,45,46.89,51.53,59.13,67.59,76.04,83.64,88.29,105
"Two-mile Run","Male",278,867,77,1241,994,965,918,867,815,768,739,689
"Two-mile Run","Female",46,997,92,1230,1148,1114,1059,997,935,879,845,807
